class,triple_count,obj_props_count,data_props_count
Medician,8067,1857,2899
MemberOfParliament,230203,40246,89428
MilitaryConflict,295529,73727,148068
MilitaryPerson,784254,200913,327131
MilitaryStructure,46794,9855,15717
MilitaryUnit,311150,89624,115889
Mineral,9610,28,4790
MixedMartialArtsEvent,14164,3482,4242
MixedMartialArtsLeague,16,2,6
Model,30547,2518,13189
Mollusca,446000,171380,136165
Monarch,61082,8237,25585
Monument,4107,822,1481
Moss,6243,2327,1856
Motorcycle,6567,0,3789
MotorcycleRacingLeague,361,69,124
MotorcycleRider,23323,2307,8596
MotorsportSeason,19206,1260,10776
Mountain,265408,44237,114149
MountainPass,11718,1886,3976
MountainRange,26133,2655,10157
MouseGene,128,8,80
MouseGeneLocation,79,0,55
Murderer,2141,267,862
Muscle,3503,319,2344
Museum,74157,10570,28183
Musical,15644,5367,5217
MusicalArtist,1510662,474913,500453
MusicalWork,2208,276,828
MusicFestival,4620,0,1386
MusicGenre,17420,8636,4216
MythologicalFigure,11086,793,2383
NascarDriver,20535,1631,6944
NationalCollegiateAthleticAssociationAthlete,8233,1440,3405
NationalFootballLeagueEvent,116,0,44
NationalFootballLeagueSeason,35417,7420,12457
NCAATeamSeason,73906,8308,33898
Nerve,4280,515,2757
NetballPlayer,5295,343,2224
Newspaper,90167,22197,32234
Noble,105076,14177,42789
Non-ProfitOrganisation,62750,7988,25772
Novel,10153,1740,3045
OfficeHolder,1399190,358419,565271
OlympicEvent,68405,21422,14457
OlympicResult,10012,664,7053
Olympics,767,0,303
Organisation,175116,36242,73603
owl:Thing,2515,503,1509
Painter,54742,2407,20600
Park,32182,6561,8553
Person,10620943,766182,4569061
PersonFunction,770361,2266,514507
Philosopher,46099,16899,14050
Photographer,8405,305,3117
Place,90486,22986,30550
Planet,177324,12931,128711
Plant,722142,336770,204668
Play,29111,4342,15994
PlayboyPlaymate,10761,1679,6132
Poem,3030,19,1131
Poet,6573,410,2299
PokerPlayer,12130,561,4573
PoliticalParty,91503,23838,30635
Politician,420386,61641,170385
PoloLeague,278,34,100
Pope,8997,1273,3390
PowerStation,48215,7157,22436
Presenter,2094,209,875
President,72425,17174,30985
PrimeMinister,49218,11403,21260
Prison,11302,1569,3538
ProgrammingLanguage,13087,2838,4569
ProtectedArea,143540,26176,68756
Protein,107727,0,67650
PublicTransitSystem,27747,5187,11892
Publisher,17044,2255,5661
Racecourse,3226,513,1153
RaceHorse,75648,38187,17367
RacingDriver,44594,4138,16228
RadioHost,6955,672,2785
RadioProgram,13154,4563,4639
RadioStation,496792,97263,223095
RailwayLine,62707,17374,23005
RailwayStation,125878,20251,50874
RailwayTunnel,3030,579,1310
RecordLabel,53760,14533,15115
Religious,17565,3024,7031
ReligiousBuilding,40578,550,15778
Reptile,100900,39287,35248
ResearchProject,536,125,286
Restaurant,16430,338,6292
River,522384,127187,132224
Road,382522,87484,144685
RoadJunction,2551,457,925
RoadTunnel,4591,671,2257
Rocket,4944,1207,2990
RollerCoaster,8459,846,2769
Rower,5491,324,2087
RugbyClub,33287,4217,10350
RugbyLeague,5575,164,1811
RugbyPlayer,293626,37313,118813
Saint,79106,13975,28809
Sales,40584,131,27201
School,783575,134761,334025
Scientist,467171,130223,161378
ScreenWriter,15237,1368,5673
Senator,30894,7645,13041
Settlement,4908442,867765,2497458
Ship,451510,62915,280071
ShoppingMall,43253,6097,16878
Single,985600,471178,287257
SiteOfSpecialScientificInterest,11156,1272,4844
Skater,7387,866,3045
SkiArea,10988,1962,5128
Skier,46633,5061,18021
Skyscraper,52,11,19
SnookerChamp,771,59,424
SnookerPlayer,7226,452,3683
SnookerWorldRanking,602,17,517
SoapCharacter,44588,4272,12552
SoccerClub,365243,68414,125721
SoccerClubSeason,103444,49721,25323
SoccerLeague,23363,2298,9521
SoccerManager,596059,299192,136509
SoccerPlayer,3298475,1292988,941864
SoccerTournament,63372,0,19173
SoftballLeague,260,10,90
Software,155838,42080,69902
SolarEclipse,3438,0,1146
Song,105208,35325,33817
Spacecraft,1222,0,745
SpaceMission,39,9,23
SpaceShuttle,268,27,187
SpaceStation,359,0,266
Species,47165,19254,19523
SpeedwayLeague,231,21,82
SpeedwayRider,15562,1602,5458
SpeedwayTeam,1180,146,350
Sport,2158,424,906
SportsEvent,11241,805,3618
SportsLeague,3835,372,1496
SportsTeam,30249,5688,10209
SportsTeamMember,4552122,441833,1039815
SquashPlayer,8763,1426,3245
Stadium,163199,38108,60726
Star,21830,0,12083
Station,472225,68867,240002
Stream,904,378,214
SumoWrestler,10799,943,4372
SupremeCourtOfTheUnitedStatesCase,23135,0,10315
Surname,6504,0,3252
Swimmer,85462,8565,36879
TableTennisPlayer,10136,961,4016
TelevisionEpisode,164589,69380,55254
TelevisionHost,924,86,365
TelevisionSeason,32959,4205,17222
TelevisionShow,621828,275640,228324
TelevisionStation,215390,52586,93431
TennisLeague,174,21,65
TennisPlayer,96317,13015,39027
TennisTournament,79391,23788,16417
Theatre,27239,3897,13533
TimePeriod,618533,31414,419309
Town,1105242,194406,577064
TradeUnion,22741,3137,8656
Train,15022,3087,8293
Tunnel,1044,161,495
University,407340,83161,145705
Valley,2887,1054,1020
Vein,3048,440,1906
Venue,14018,2678,6044
VideoGame,342134,146145,99484
VideogamesLeague,110,12,42
Village,3450283,809159,1404683
VoiceActor,11650,771,4027
Volcano,15611,2774,7347
VolleyballCoach,662,100,243
VolleyballLeague,1307,170,481
VolleyballPlayer,29578,4335,11922
WaterRide,871,68,292
WaterwayTunnel,467,70,228
Weapon,64858,12364,30858
Website,40860,5655,17010
WineRegion,9242,5491,2026
Winery,4251,262,1517
WomensTennisAssociationTournament,991,154,288
WorldHeritageSite,11632,1007,5424
Wrestler,89559,11502,40976
WrestlingEvent,17828,4914,5210
Writer,618216,113717,229609
WrittenWork,16755,6035,5504
Year,14259,0,6111
YearInSpaceflight,1016,391,445
